1: 424KT; Bid: 464
0: 3J4QA; Bid: 723
0: 94Q85; Bid: 210
3: 25722; Bid: 304
4: Q4QQQ; Bid: 176
3: 3J777; Bid: 548
1: 37687; Bid: 944
0: 8J6TK; Bid: 274
1: 99TQA; Bid: 623
1: 58389; Bid: 577
4: AAAQA; Bid: 346
2: 33A66; Bid: 773
2: 2K2K7; Bid: 626
3: 37776; Bid: 242
3: ATAA5; Bid: 750
0: T46KA; Bid: 551
3: 99J9T; Bid: 916
3: Q4Q7Q; Bid: 307
1: 9JA4A; Bid: 90
1: TT2KQ; Bid: 19
3: TTAT8; Bid: 483
2: 28J28; Bid: 915
6: 55222; Bid: 995
4: 67666; Bid: 766
6: 99933; Bid: 783
3: 6T6J6; Bid: 823
4: KKK9K; Bid: 175
2: A9KK9; Bid: 799
2: QTQ88; Bid: 920
2: 9T9KT; Bid: 777
0: T63J9; Bid: 159
2: 6JJ36; Bid: 898
3: 229T2; Bid: 17
1: J9QJ5; Bid: 250
0: 8K3Q6; Bid: 42
3: QQ6Q3; Bid: 252
1: K8JK7; Bid: 320
2: 32523; Bid: 510
1: TQ33J; Bid: 507
2: J227J; Bid: 913
1: 835JJ; Bid: 169
2: TJT22; Bid: 354
3: QQQ79; Bid: 870
4: 77776; Bid: 333
0: 78TQ2; Bid: 466
2: 27J27; Bid: 229
6: A5A5A; Bid: 987
6: 88444; Bid: 135
4: T7TTT; Bid: 908
3: AKTKK; Bid: 297
0: 3678J; Bid: 496
3: Q6JQQ; Bid: 742
2: 644T6; Bid: 877
3: 59699; Bid: 653
1: A98J8; Bid: 656
2: 48466; Bid: 815
1: 66J85; Bid: 316
3: KK45K; Bid: 94
6: 88777; Bid: 968
1: 28565; Bid: 895
1: T24T6; Bid: 367
1: 77K84; Bid: 557
0: 5A32T; Bid: 714
3: QQQ28; Bid: 998
6: A333A; Bid: 1
3: 373J3; Bid: 144
1: JQJK4; Bid: 439
2: 9K44K; Bid: 262
6: KJKKJ; Bid: 641
3: Q6AAA; Bid: 862
1: 492A9; Bid: 18
1: 8Q69Q; Bid: 829
2: 6K6KT; Bid: 192
2: QK5K5; Bid: 865
0: JA254; Bid: 907
1: JTK99; Bid: 406
4: 87888; Bid: 705
1: 553Q6; Bid: 655
2: 95577; Bid: 731
4: 77775; Bid: 88
2: A223A; Bid: 369
2: 7J7J8; Bid: 455
0: 48TA5; Bid: 352
0: 3TJ5A; Bid: 451
3: 6669Q; Bid: 685
2: 6T6TJ; Bid: 275
2: 77969; Bid: 505
4: 66966; Bid: 616
3: 55985; Bid: 124
3: 8TTT2; Bid: 337
4: 97777; Bid: 272
0: 6A8T5; Bid: 502
1: 353AT; Bid: 622
0: K47A2; Bid: 966
4: 22A22; Bid: 418
0: 675J4; Bid: 665
2: 7A3A3; Bid: 919
0: 6J5A2; Bid: 734
4: 22227; Bid: 707
2: Q7AQA; Bid: 79
1: 23T42; Bid: 825
0: 6K58Q; Bid: 843
0: K5J69; Bid: 68
1: JKT4K; Bid: 683
3: T5T9T; Bid: 628
3: 4J434; Bid: 53
2: KKAQA; Bid: 982
4: TTTAT; Bid: 861
3: T2722; Bid: 757
1: 3A8J3; Bid: 16
1: K53T3; Bid: 375
1: T47T9; Bid: 668
0: 73269; Bid: 806
0: J6AK8; Bid: 443
4: 44544; Bid: 189
2: A83A8; Bid: 914
0: T264Q; Bid: 253
3: 33732; Bid: 539
1: 6K544; Bid: 223
3: J8TTT; Bid: 933
2: QQKK5; Bid: 725
0: AJ98T; Bid: 767
0: A847T; Bid: 35
1: J646K; Bid: 98
4: 98999; Bid: 630
3: AA9JA; Bid: 582
0: 6K3TJ; Bid: 196
3: 77JT7; Bid: 151
0: K594J; Bid: 125
3: 53K33; Bid: 290
2: 664AA; Bid: 572
1: JT7AA; Bid: 621
3: Q8886; Bid: 433
3: K9599; Bid: 857
3: 33J3T; Bid: 292
4: 5555J; Bid: 66
1: AA456; Bid: 69
2: 887AA; Bid: 934
3: 7T5TT; Bid: 639
2: QQAKK; Bid: 254
3: 98995; Bid: 593
3: 88987; Bid: 108
6: T5T5T; Bid: 118
0: 7TA2J; Bid: 737
1: QQ58J; Bid: 996
6: 6T66T; Bid: 972
2: T88QT; Bid: 314
3: 3T33Q; Bid: 535
1: 9K2K7; Bid: 428
1: 2T884; Bid: 956
6: 33535; Bid: 231
1: 868AK; Bid: 185
4: QQQQ7; Bid: 47
3: 22TA2; Bid: 924
0: KT842; Bid: 48
0: 65932; Bid: 652
0: KT276; Bid: 21
6: 54554; Bid: 434
2: 7A7A6; Bid: 818
3: TTJTQ; Bid: 833
0: J7A98; Bid: 850
0: AJ67Q; Bid: 637
6: A8A88; Bid: 564
2: 9955J; Bid: 10
4: TTT4T; Bid: 740
3: 36662; Bid: 204
4: 2222J; Bid: 15
2: J8998; Bid: 437
2: T6T62; Bid: 457
0: A24J3; Bid: 249
4: AAAA2; Bid: 474
3: 36566; Bid: 796
2: 2T27T; Bid: 602
2: KAKTA; Bid: 597
0: 84JQ3; Bid: 592
2: QTQ2T; Bid: 215
4: 66J66; Bid: 423
0: T3Q47; Bid: 62
4: A6AAA; Bid: 533
2: T99TJ; Bid: 868
3: 888TJ; Bid: 485
0: 6J5Q2; Bid: 821
3: J9499; Bid: 610
3: 39KKK; Bid: 606
6: QAQQA; Bid: 436
6: 75775; Bid: 584
1: 884AT; Bid: 157
2: 3T636; Bid: 162
3: 97666; Bid: 509
2: J5T5T; Bid: 270
1: 332T9; Bid: 246
3: J4KKK; Bid: 257
2: 96T69; Bid: 900
3: QQQ38; Bid: 411
2: 74A74; Bid: 309
5: JJJJJ; Bid: 835
3: AA3A2; Bid: 372
1: 2JA99; Bid: 860
2: 29KK2; Bid: 642
1: 4T4JQ; Bid: 981
2: 944J9; Bid: 604
2: TQT66; Bid: 939
2: 25295; Bid: 673
1: 59J45; Bid: 603
1: 62846; Bid: 356
4: 444K4; Bid: 869
3: 8QJQQ; Bid: 371
3: 33Q43; Bid: 416
6: KK333; Bid: 567
1: TQQ96; Bid: 46
2: 2A2A9; Bid: 478
1: 4J574; Bid: 784
6: 6A6AA; Bid: 13
2: 4A646; Bid: 385
2: 33575; Bid: 70
3: 9A989; Bid: 407
1: 42549; Bid: 576
6: AAA88; Bid: 154
3: A5AAJ; Bid: 7
0: J842K; Bid: 99
3: J99A9; Bid: 305
0: 56J9A; Bid: 357
0: JT574; Bid: 758
4: 55545; Bid: 199
4: 55525; Bid: 884
2: A3KA3; Bid: 497
1: 4J828; Bid: 180
3: 33QJ3; Bid: 804
3: 5QQQA; Bid: 105
2: Q9JJQ; Bid: 452
0: 8256J; Bid: 635
1: 6Q4TQ; Bid: 774
2: Q5AA5; Bid: 549
0: J8TKA; Bid: 84
6: 75557; Bid: 928
0: KA2Q3; Bid: 67
4: 44944; Bid: 339
0: 46ATJ; Bid: 697
1: A8A9T; Bid: 657
3: 3Q33A; Bid: 197
6: 8Q88Q; Bid: 454
2: 24433; Bid: 334
4: 23333; Bid: 531
0: 57Q6T; Bid: 198
0: KT46J; Bid: 736
0: 84T36; Bid: 554
6: 99333; Bid: 241
1: K5K97; Bid: 31
3: QQQ76; Bid: 321
1: 339J6; Bid: 57
4: 22522; Bid: 993
1: 24KKJ; Bid: 643
3: 6K888; Bid: 413
6: 4Q44Q; Bid: 873
4: 2K222; Bid: 400
1: 83494; Bid: 239
0: TJ5KA; Bid: 238
0: T6J5K; Bid: 579
3: JQTQQ; Bid: 283
1: A5J52; Bid: 461
0: J75K6; Bid: 575
3: KT7KK; Bid: 885
2: 7KJ7K; Bid: 200
1: J2KA2; Bid: 985
4: 33343; Bid: 167
4: 29999; Bid: 3
4: 88882; Bid: 618
3: 2K666; Bid: 552
4: 7777T; Bid: 724
6: 99966; Bid: 792
1: 443JT; Bid: 284
1: K2KJQ; Bid: 494
0: K4T36; Bid: 392
2: 7JQQJ; Bid: 787
3: 555KJ; Bid: 528
0: 7K5Q8; Bid: 834
1: 23743; Bid: 589
6: KKAKA; Bid: 482
2: J9J29; Bid: 600
6: 5TT55; Bid: 205
0: 345KT; Bid: 178
0: 5TQ28; Bid: 820
1: J7T6J; Bid: 888
0: 39TJ7; Bid: 710
0: 6QJ92; Bid: 546
0: A28JK; Bid: 782
3: 44482; Bid: 703
0: AJ2K5; Bid: 743
6: 94944; Bid: 310
0: J29A4; Bid: 340
0: T7932; Bid: 948
0: 7A468; Bid: 131
1: ATK5T; Bid: 145
6: QQQJJ; Bid: 287
0: 598JA; Bid: 319
3: 52242; Bid: 216
6: J6J66; Bid: 222
1: KTJT2; Bid: 540
6: 55885; Bid: 511
4: TTTT2; Bid: 132
1: 3A757; Bid: 947
3: 2A322; Bid: 38
1: 858AJ; Bid: 863
4: 55557; Bid: 293
0: AQ8J9; Bid: 220
0: 3675Q; Bid: 695
0: 7KQJ8; Bid: 306
0: 85A7Q; Bid: 460
6: 3J3J3; Bid: 143
2: 6A6AJ; Bid: 594
2: 84383; Bid: 715
6: 83388; Bid: 847
4: 6666K; Bid: 104
0: 5728A; Bid: 952
6: J555J; Bid: 763
3: 7TQQQ; Bid: 515
6: 6TTT6; Bid: 844
1: Q739Q; Bid: 961
1: 58TT7; Bid: 276
3: 66JK6; Bid: 812
2: 779Q9; Bid: 384
6: AJAJA; Bid: 165
1: 88J39; Bid: 838
0: K25QA; Bid: 991
3: 442J4; Bid: 727
2: 9K8K9; Bid: 149
4: AAAA7; Bid: 335
1: 638J6; Bid: 207
3: 888JK; Bid: 25
4: 444T4; Bid: 129
0: Q4A5K; Bid: 527
6: 9A9A9; Bid: 671
1: TT5K8; Bid: 570
4: 9999T; Bid: 795
2: A8A8J; Bid: 692
3: J9993; Bid: 345
0: 867A9; Bid: 684
0: J7Q8A; Bid: 359
1: J37TT; Bid: 932
3: 77297; Bid: 12
0: 29QT4; Bid: 964
3: 7Q767; Bid: 976
3: TTTJ4; Bid: 689
4: 59555; Bid: 415
6: 4J44J; Bid: 896
0: 69J87; Bid: 649
3: 99495; Bid: 826
1: 5QT5J; Bid: 86
1: Q7QK6; Bid: 713
2: 2JJ25; Bid: 296
2: 8Q686; Bid: 393
2: QQ966; Bid: 619
6: JJTTT; Bid: 537
0: K9253; Bid: 563
0: 59AQ3; Bid: 702
0: 53482; Bid: 364
6: 2KKK2; Bid: 807
1: 8J6AJ; Bid: 232
1: 48TT9; Bid: 161
1: Q64Q8; Bid: 615
3: AAAJ6; Bid: 122
1: 2J72Q; Bid: 74
0: 493K2; Bid: 585
0: 4TJ86; Bid: 793
2: 32K2K; Bid: 526
6: 65565; Bid: 659
1: 989JK; Bid: 404
0: T235K; Bid: 880
1: 27AQ2; Bid: 568
0: 354T7; Bid: 738
3: K777J; Bid: 646
4: 8JJJJ; Bid: 303
1: 27329; Bid: 620
1: 69892; Bid: 596
1: 3797J; Bid: 687
1: 5977A; Bid: 588
0: T58K9; Bid: 566
4: TTTJT; Bid: 897
0: 75Q46; Bid: 456
4: 9Q999; Bid: 890
0: 85J2A; Bid: 130
3: 33368; Bid: 744
4: K7KKK; Bid: 45
1: T5459; Bid: 285
3: 888J5; Bid: 690
3: 6676Q; Bid: 251
0: 56QJT; Bid: 11
1: TKQJK; Bid: 722
1: 9QT3T; Bid: 803
2: 55KKJ; Bid: 645
1: 3357J; Bid: 814
1: KK685; Bid: 308
3: K4TKK; Bid: 332
1: 33296; Bid: 343
0: 2T4K7; Bid: 836
6: 32232; Bid: 629
0: 2K8A5; Bid: 164
0: J2Q98; Bid: 578
6: 2T22T; Bid: 810
2: 3Q3QJ; Bid: 607
1: Q393K; Bid: 927
4: 3AAAA; Bid: 440
0: 9J374; Bid: 341
4: 7A777; Bid: 484
2: 3J355; Bid: 711
3: 9TTT6; Bid: 752
1: T6Q5T; Bid: 121
1: Q287Q; Bid: 648
3: 8988T; Bid: 472
0: 3KQ52; Bid: 957
6: 7TTT7; Bid: 226
1: AJKK7; Bid: 177
6: AA555; Bid: 295
3: Q2QJQ; Bid: 396
6: 68868; Bid: 498
1: 9Q34Q; Bid: 941
3: 588K8; Bid: 946
0: 47J53; Bid: 386
1: QJ44A; Bid: 348
3: 37977; Bid: 217
6: 88JJ8; Bid: 855
6: 36663; Bid: 808
0: T69A8; Bid: 174
2: 47AA4; Bid: 883
3: 36444; Bid: 504
6: 2K22K; Bid: 943
1: 565TJ; Bid: 431
4: 33Q33; Bid: 571
1: J28JK; Bid: 414
1: 38Q4Q; Bid: 609
6: T777T; Bid: 662
3: QKQTQ; Bid: 54
1: 3327J; Bid: 492
0: 2T4A9; Bid: 59
0: 6A7K4; Bid: 60
6: 99889; Bid: 6
0: K2QA8; Bid: 425
2: 76467; Bid: 141
2: 5JJA5; Bid: 102
1: QJKQ9; Bid: 909
4: QQQ8Q; Bid: 936
1: 96J63; Bid: 832
0: 624J7; Bid: 36
4: 86666; Bid: 109
6: A44AA; Bid: 854
0: T2987; Bid: 892
1: 64A65; Bid: 230
1: Q677T; Bid: 841
1: T476T; Bid: 458
0: JA6TQ; Bid: 315
4: KKJKK; Bid: 959
4: 33363; Bid: 631
2: 6Q6Q8; Bid: 675
6: 77474; Bid: 398
1: J623J; Bid: 134
1: Q3JTT; Bid: 953
2: 55787; Bid: 779
6: AAAQQ; Bid: 770
1: 52342; Bid: 247
3: 779T7; Bid: 625
6: J22J2; Bid: 77
1: 3J3Q5; Bid: 699
3: 9KKJK; Bid: 412
1: 4QJ42; Bid: 273
4: 666Q6; Bid: 355
1: 4Q4K8; Bid: 101
0: T4236; Bid: 183
1: QJ9Q8; Bid: 476
4: 99995; Bid: 716
2: 28283; Bid: 327
0: 4Q9T8; Bid: 910
0: 968T2; Bid: 983
4: 24444; Bid: 647
0: 846K5; Bid: 765
0: 37KTJ; Bid: 453
3: J7888; Bid: 904
0: K6T73; Bid: 358
6: TKKTT; Bid: 681
3: 59939; Bid: 116
4: 62222; Bid: 840
3: 73757; Bid: 382
2: 44677; Bid: 34
3: KKQJK; Bid: 311
0: K4AJ2; Bid: 856
2: 7J3J7; Bid: 513
0: A69K5; Bid: 347
2: 2A2JJ; Bid: 388
0: T34AQ; Bid: 781
1: 3KKJ9; Bid: 50
2: 78447; Bid: 63
6: 72727; Bid: 617
2: KK535; Bid: 73
2: 25562; Bid: 184
1: 3Q855; Bid: 227
0: Q46K8; Bid: 245
6: 9QQ99; Bid: 87
0: T2A47; Bid: 387
2: 47499; Bid: 544
0: J4279; Bid: 22
6: 2QQ2Q; Bid: 935
3: 4484T; Bid: 331
3: 666J5; Bid: 450
2: 6QQ67; Bid: 491
0: 76KT4; Bid: 940
0: 357Q8; Bid: 160
1: 7KK2Q; Bid: 764
2: 2J662; Bid: 323
2: 5A858; Bid: 444
1: 955TJ; Bid: 830
0: K927Q; Bid: 595
0: 8JQAT; Bid: 64
0: 8A3QJ; Bid: 138
0: JA3K5; Bid: 302
4: 55Q55; Bid: 644
4: 48888; Bid: 71
1: 923J2; Bid: 432
1: Q6Q5K; Bid: 182
6: 29929; Bid: 403
1: 29466; Bid: 612
4: TQQQQ; Bid: 58
1: 99J82; Bid: 467
0: K84A2; Bid: 363
2: 93493; Bid: 420
1: 55J46; Bid: 106
3: 449J4; Bid: 886
3: K3332; Bid: 871
1: JJ83K; Bid: 350
1: 6J4T6; Bid: 72
2: 6T655; Bid: 163
1: 39877; Bid: 424
2: 73AA7; Bid: 613
3: K6664; Bid: 173
1: 44T93; Bid: 994
0: Q937K; Bid: 136
1: J2J4T; Bid: 694
0: 56AQ9; Bid: 517
1: Q4TJQ; Bid: 419
3: 7K774; Bid: 789
1: 6672J; Bid: 218
1: J585A; Bid: 894
1: 85J87; Bid: 2
0: 6A3KJ; Bid: 827
3: 45559; Bid: 103
1: 25J44; Bid: 828
2: 6K6K5; Bid: 225
6: 37737; Bid: 790
6: 78887; Bid: 447
1: J363K; Bid: 963
2: 533TT; Bid: 442
0: 497TK; Bid: 81
6: 22992; Bid: 902
2: 48864; Bid: 80
0: Q5AK6; Bid: 661
4: KKQKK; Bid: 115
0: 58Q9T; Bid: 771
4: J4444; Bid: 717
2: 3QQ3A; Bid: 256
3: 23622; Bid: 366
0: 6A497; Bid: 373
4: 7777J; Bid: 732
0: 92A86; Bid: 719
2: 929Q2; Bid: 899
2: 3JA3A; Bid: 536
1: TJ38J; Bid: 459
0: 93654; Bid: 967
0: 29K3A; Bid: 353
0: K48JA; Bid: 864
2: 44Q3Q; Bid: 556
0: J4A39; Bid: 728
3: 76A77; Bid: 522
2: 52959; Bid: 374
1: 675Q6; Bid: 922
1: J55T8; Bid: 819
3: 22392; Bid: 95
6: 33223; Bid: 514
1: K494J; Bid: 876
0: 82JTQ; Bid: 166
1: A9J77; Bid: 410
0: 6J8Q7; Bid: 221
6: KKK44; Bid: 801
1: 22A34; Bid: 322
1: 8JAQQ; Bid: 561
3: 9899J; Bid: 543
3: Q9K99; Bid: 524
0: 2JTQ9; Bid: 51
2: 62642; Bid: 465
1: QJ55A; Bid: 317
0: 63QA4; Bid: 172
2: 99Q8Q; Bid: 965
4: 4444Q; Bid: 678
1: QQ2J3; Bid: 427
6: 22828; Bid: 234
1: 3A858; Bid: 788
3: KQKTK; Bid: 918
1: A4939; Bid: 96
0: 76J34; Bid: 521
1: 227J5; Bid: 219
0: 2AQ78; Bid: 525
1: 74J4T; Bid: 906
6: 3T33T; Bid: 168
1: JTT98; Bid: 917
1: 9J749; Bid: 878
4: 96999; Bid: 590
0: 654K7; Bid: 640
0: 35AJ8; Bid: 1000
0: 72934; Bid: 837
1: 7Q6J7; Bid: 718
1: 77859; Bid: 265
0: 2AJKQ; Bid: 508
3: 2J322; Bid: 282
2: JJ665; Bid: 569
4: 92222; Bid: 762
3: 5222T; Bid: 435
1: T9JTA; Bid: 786
1: AA853; Bid: 848
3: 8AAAJ; Bid: 555
0: 3J29A; Bid: 760
1: 4A5AJ; Bid: 75
0: 5874Q; Bid: 313
3: 49T44; Bid: 542
1: T8TQ4; Bid: 636
6: 99955; Bid: 140
2: 8QQ8A; Bid: 500
3: 727J7; Bid: 676
6: 48884; Bid: 119
3: 6KA66; Bid: 409
4: 66566; Bid: 748
1: Q6QJ4; Bid: 611
0: 4A87J; Bid: 78
6: TT888; Bid: 376
1: 28Q89; Bid: 344
3: 28777; Bid: 805
2: 35543; Bid: 797
1: 4T522; Bid: 278
2: 636AA; Bid: 233
0: 26K5A; Bid: 228
0: 2A9Q7; Bid: 506
2: 23299; Bid: 194
2: J3AAJ; Bid: 29
4: 66466; Bid: 286
1: AT878; Bid: 43
1: Q46J6; Bid: 324
3: 63J66; Bid: 721
0: TK9JQ; Bid: 741
2: 95Q5Q; Bid: 960
4: 22T22; Bid: 686
3: 5KK7K; Bid: 381
3: Q85QQ; Bid: 852
3: 39799; Bid: 701
1: T38TK; Bid: 730
2: QQK22; Bid: 28
0: 69QAT; Bid: 633
2: 23663; Bid: 545
3: QQ6AQ; Bid: 261
2: A7KA7; Bid: 845
2: TJ7JT; Bid: 351
3: T5888; Bid: 37
3: KKK86; Bid: 867
2: 66JJ2; Bid: 581
3: 6686J; Bid: 632
1: A93AJ; Bid: 243
0: J23K5; Bid: 739
2: 5599K; Bid: 955
2: TT323; Bid: 477
3: KTK9K; Bid: 390
2: Q757Q; Bid: 258
2: 6699J; Bid: 530
1: 65QQT; Bid: 745
1: 9K2AA; Bid: 520
0: 46J3T; Bid: 441
1: 3828J; Bid: 9
3: TT3T8; Bid: 733
0: 56A92; Bid: 712
